station_id_pseudo,num_bikes_available,num_ebikes_available,vehicle_types_available,num_bikes_disabled,num_docks_available,num_docks_disabled,is_installed,is_renting,is_returning,last_reported,eightd_has_available_keys,is_charging,eightd_active_station_services,fetch_time_utc
id_073be9a18791,20,11,"[{""vehicle_type_id"":""11"",""count"":11},{""vehicle_type_id"":""14"",""count"":1},{""vehicle_type_id"":""4"",""count"":0},{""vehicle_type_id"":""7"",""count"":0},{""vehicle_type_id"":""9"",""count"":8}]",0,2,0,1,1,1,2025-09-23T09:12:02+00:00,False,False,,2025-09-23T09:28:00+00:00
id_073be9a18791,21,11,"[{""vehicle_type_id"":""11"",""count"":11},{""vehicle_type_id"":""14"",""count"":1},{""vehicle_type_id"":""4"",""count"":0},{""vehicle_type_id"":""7"",""count"":0},{""vehicle_type_id"":""9"",""count"":9}]",0,1,0,1,1,1,2025-09-23T09:31:31+00:00,False,False,,2025-09-23T09:43:37+00:00
id_073be9a18791,21,11,"[{""vehicle_type_id"":""11"",""count"":11},{""vehicle_type_id"":""14"",""count"":1},{""vehicle_type_id"":""4"",""count"":0},{""vehicle_type_id"":""7"",""count"":0},{""vehicle_type_id"":""9"",""count"":9}]",0,1,0,1,1,1,2025-09-23T09:31:31+00:00,False,False,,2025-09-23T09:56:23+00:00
id_073be9a18791,22,12,"[{""vehicle_type_id"":""11"",""count"":12},{""vehicle_type_id"":""14"",""count"":1},{""vehicle_type_id"":""4"",""count"":0},{""vehicle_type_id"":""7"",""count"":0},{""vehicle_type_id"":""9"",""count"":9}]",0,0,0,1,1,1,2025-09-23T09:56:53+00:00,False,False,,2025-09-23T10:27:24+00:00
id_073be9a18791,20,11,"[{""vehicle_type_id"":""11"",""count"":11},{""vehicle_type_id"":""14"",""count"":1},{""vehicle_type_id"":""4"",""count"":0},{""vehicle_type_id"":""7"",""count"":0},{""vehicle_type_id"":""9"",""count"":8}]",0,2,0,1,1,1,2025-09-23T10:44:17+00:00,False,False,,2025-09-23T10:44:50+00:00
id_073be9a18791,20,10,"[{""vehicle_type_id"":""11"",""count"":10},{""vehicle_type_id"":""14"",""count"":1},{""vehicle_type_id"":""4"",""count"":0},{""vehicle_type_id"":""7"",""count"":0},{""vehicle_type_id"":""9"",""count"":9}]",1,1,0,1,1,1,2025-09-23T10:53:01+00:00,False,False,,2025-09-23T10:57:20+00:00
id_073be9a18791,16,11,"[{""vehicle_type_id"":""11"",""count"":11},{""vehicle_type_id"":""14"",""count"":1},{""vehicle_type_id"":""4"",""count"":0},{""vehicle_type_id"":""7"",""count"":0},{""vehicle_type_id"":""9"",""count"":4}]",1,5,0,1,1,1,2025-09-23T11:19:56+00:00,False,False,,2025-09-23T11:21:15+00:00
id_073be9a18791,11,10,"[{""vehicle_type_id"":""11"",""count"":10},{""vehicle_type_id"":""14"",""count"":1},{""vehicle_type_id"":""4"",""count"":0},{""vehicle_type_id"":""7"",""count"":0},{""vehicle_type_id"":""9"",""count"":0}]",0,11,0,1,1,1,2025-09-23T11:34:41+00:00,False,False,,2025-09-23T11:36:17+00:00
id_073be9a18791,10,9,"[{""vehicle_type_id"":""11"",""count"":9},{""vehicle_type_id"":""14"",""count"":1},{""vehicle_type_id"":""4"",""count"":0},{""vehicle_type_id"":""7"",""count"":0},{""vehicle_type_id"":""9"",""count"":0}]",0,12,0,1,1,1,2025-09-23T11:48:06+00:00,False,False,,2025-09-23T11:48:53+00:00
id_073be9a18791,2,1,"[{""vehicle_type_id"":""11"",""count"":1},{""vehicle_type_id"":""14"",""count"":1},{""vehicle_type_id"":""4"",""count"":0},{""vehicle_type_id"":""7"",""count"":0},{""vehicle_type_id"":""9"",""count"":0}]",0,20,0,1,1,1,2025-09-23T12:15:22+00:00,False,False,,2025-09-23T12:18:37+00:00
id_073be9a18791,4,2,"[{""vehicle_type_id"":""11"",""count"":2},{""vehicle_type_id"":""14"",""count"":1},{""vehicle_type_id"":""4"",""count"":0},{""vehicle_type_id"":""7"",""count"":0},{""vehicle_type_id"":""9"",""count"":1}]",1,17,0,1,1,1,2025-09-23T12:51:27+00:00,False,False,,2025-09-23T13:00:46+00:00
id_073be9a18791,7,5,"[{""vehicle_type_id"":""11"",""count"":5},{""vehicle_type_id"":""14"",""count"":1},{""vehicle_type_id"":""4"",""count"":0},{""vehicle_type_id"":""7"",""count"":0},{""vehicle_type_id"":""9"",""count"":1}]",0,15,0,1,1,1,2025-09-23T13:29:48+00:00,False,False,,2025-09-23T13:35:47+00:00
id_073be9a18791,5,4,"[{""vehicle_type_id"":""11"",""count"":4},{""vehicle_type_id"":""14"",""count"":1},{""vehicle_type_id"":""4"",""count"":0},{""vehicle_type_id"":""7"",""count"":0},{""vehicle_type_id"":""9"",""count"":0}]",0,17,0,1,1,1,2025-09-23T13:49:45+00:00,False,False,,2025-09-23T13:51:32+00:00
id_073be9a18791,6,4,"[{""vehicle_type_id"":""11"",""count"":4},{""vehicle_type_id"":""14"",""count"":1},{""vehicle_type_id"":""4"",""count"":0},{""vehicle_type_id"":""7"",""count"":0},{""vehicle_type_id"":""9"",""count"":1}]",0,16,0,1,1,1,2025-09-23T13:56:28+00:00,False,False,,2025-09-23T14:14:17+00:00
id_073be9a18791,5,3,"[{""vehicle_type_id"":""11"",""count"":3},{""vehicle_type_id"":""14"",""count"":1},{""vehicle_type_id"":""4"",""count"":0},{""vehicle_type_id"":""7"",""count"":0},{""vehicle_type_id"":""9"",""count"":1}]",0,17,0,1,1,1,2025-09-23T14:17:35+00:00,False,False,,2025-09-23T14:38:48+00:00
id_073be9a18791,4,3,"[{""vehicle_type_id"":""11"",""count"":3},{""vehicle_type_id"":""14"",""count"":1},{""vehicle_type_id"":""4"",""count"":0},{""vehicle_type_id"":""7"",""count"":0},{""vehicle_type_id"":""9"",""count"":0}]",1,17,0,1,1,1,2025-09-23T14:50:18+00:00,False,False,,2025-09-23T14:52:41+00:00
id_073be9a18791,1,0,"[{""vehicle_type_id"":""11"",""count"":0},{""vehicle_type_id"":""14"",""count"":1},{""vehicle_type_id"":""4"",""count"":0},{""vehicle_type_id"":""7"",""count"":0},{""vehicle_type_id"":""9"",""count"":0}]",1,20,0,1,1,1,2025-09-23T15:17:31+00:00,False,False,,2025-09-23T15:18:18+00:00
id_073be9a18791,4,3,"[{""vehicle_type_id"":""11"",""count"":3},{""vehicle_type_id"":""14"",""count"":1},{""vehicle_type_id"":""4"",""count"":0},{""vehicle_type_id"":""7"",""count"":0},{""vehicle_type_id"":""9"",""count"":0}]",0,18,0,1,1,1,2025-09-23T15:30:58+00:00,False,False,,2025-09-23T15:37:23+00:00
id_073be9a18791,3,1,"[{""vehicle_type_id"":""11"",""count"":1},{""vehicle_type_id"":""14"",""count"":1},{""vehicle_type_id"":""4"",""count"":0},{""vehicle_type_id"":""7"",""count"":0},{""vehicle_type_id"":""9"",""count"":1}]",0,19,0,1,1,1,2025-09-23T15:49:46+00:00,False,False,,2025-09-23T15:50:30+00:00
id_073be9a18791,4,2,"[{""vehicle_type_id"":""11"",""count"":2},{""vehicle_type_id"":""14"",""count"":1},{""vehicle_type_id"":""4"",""count"":0},{""vehicle_type_id"":""7"",""count"":0},{""vehicle_type_id"":""9"",""count"":1}]",0,18,0,1,1,1,2025-09-23T16:16:29+00:00,False,False,,2025-09-23T16:16:34+00:00
id_073be9a18791,3,2,"[{""vehicle_type_id"":""11"",""count"":2},{""vehicle_type_id"":""14"",""count"":1},{""vehicle_type_id"":""4"",""count"":0},{""vehicle_type_id"":""7"",""count"":0},{""vehicle_type_id"":""9"",""count"":0}]",0,19,0,1,1,1,2025-09-23T16:36:21+00:00,False,False,,2025-09-23T16:42:36+00:00
id_073be9a18791,6,2,"[{""vehicle_type_id"":""11"",""count"":2},{""vehicle_type_id"":""14"",""count"":1},{""vehicle_type_id"":""4"",""count"":0},{""vehicle_type_id"":""7"",""count"":0},{""vehicle_type_id"":""9"",""count"":3}]",0,16,0,1,1,1,2025-09-23T16:55:30+00:00,False,False,,2025-09-23T16:55:36+00:00
id_073be9a18791,4,1,"[{""vehicle_type_id"":""11"",""count"":1},{""vehicle_type_id"":""14"",""count"":1},{""vehicle_type_id"":""4"",""count"":0},{""vehicle_type_id"":""7"",""count"":0},{""vehicle_type_id"":""9"",""count"":2}]",0,18,0,1,1,1,2025-09-23T17:22:03+00:00,False,False,,2025-09-23T17:26:53+00:00
id_073be9a18791,5,1,"[{""vehicle_type_id"":""11"",""count"":1},{""vehicle_type_id"":""14"",""count"":1},{""vehicle_type_id"":""4"",""count"":0},{""vehicle_type_id"":""7"",""count"":0},{""vehicle_type_id"":""9"",""count"":3}]",0,17,0,1,1,1,2025-09-23T17:28:01+00:00,False,False,,2025-09-23T17:32:13+00:00
id_073be9a18791,4,1,"[{""vehicle_type_id"":""11"",""count"":1},{""vehicle_type_id"":""14"",""count"":1},{""vehicle_type_id"":""4"",""count"":0},{""vehicle_type_id"":""7"",""count"":0},{""vehicle_type_id"":""9"",""count"":2}]",0,18,0,1,1,1,2025-09-23T17:43:48+00:00,False,False,,2025-09-23T17:44:33+00:00
id_073be9a18791,1,0,"[{""vehicle_type_id"":""11"",""count"":0},{""vehicle_type_id"":""14"",""count"":1},{""vehicle_type_id"":""4"",""count"":0},{""vehicle_type_id"":""7"",""count"":0},{""vehicle_type_id"":""9"",""count"":0}]",0,21,0,1,1,1,2025-09-23T17:49:50+00:00,False,False,,2025-09-23T17:57:17+00:00
id_073be9a18791,4,0,"[{""vehicle_type_id"":""11"",""count"":0},{""vehicle_type_id"":""14"",""count"":1},{""vehicle_type_id"":""4"",""count"":0},{""vehicle_type_id"":""7"",""count"":0},{""vehicle_type_id"":""9"",""count"":3}]",0,18,0,1,1,1,2025-09-23T18:32:22+00:00,False,False,,2025-09-23T18:37:14+00:00
id_073be9a18791,6,3,"[{""vehicle_type_id"":""11"",""count"":3},{""vehicle_type_id"":""14"",""count"":1},{""vehicle_type_id"":""4"",""count"":0},{""vehicle_type_id"":""7"",""count"":0},{""vehicle_type_id"":""9"",""count"":2}]",0,16,0,1,1,1,2025-09-23T18:49:14+00:00,False,False,,2025-09-23T18:53:31+00:00
id_073be9a18791,2,1,"[{""vehicle_type_id"":""11"",""count"":1},{""vehicle_type_id"":""14"",""count"":1},{""vehicle_type_id"":""4"",""count"":0},{""vehicle_type_id"":""7"",""count"":0},{""vehicle_type_id"":""9"",""count"":0}]",0,20,0,1,1,1,2025-09-23T19:10:18+00:00,False,False,,2025-09-23T19:15:44+00:00
id_073be9a18791,2,0,"[{""vehicle_type_id"":""11"",""count"":0},{""vehicle_type_id"":""14"",""count"":1},{""vehicle_type_id"":""4"",""count"":0},{""vehicle_type_id"":""7"",""count"":0},{""vehicle_type_id"":""9"",""count"":1}]",0,20,0,1,1,1,2025-09-23T19:26:44+00:00,False,False,,2025-09-23T19:28:13+00:00
id_073be9a18791,2,1,"[{""vehicle_type_id"":""11"",""count"":1},{""vehicle_type_id"":""14"",""count"":1},{""vehicle_type_id"":""4"",""count"":0},{""vehicle_type_id"":""7"",""count"":0},{""vehicle_type_id"":""9"",""count"":0}]",0,20,0,1,1,1,2025-09-23T19:35:40+00:00,False,False,,2025-09-23T19:41:01+00:00
id_073be9a18791,3,1,"[{""vehicle_type_id"":""11"",""count"":1},{""vehicle_type_id"":""14"",""count"":1},{""vehicle_type_id"":""4"",""count"":0},{""vehicle_type_id"":""7"",""count"":0},{""vehicle_type_id"":""9"",""count"":1}]",0,19,0,1,1,1,2025-09-23T19:51:20+00:00,False,False,,2025-09-23T19:53:21+00:00
id_073be9a18791,1,0,"[{""vehicle_type_id"":""11"",""count"":0},{""vehicle_type_id"":""14"",""count"":1},{""vehicle_type_id"":""4"",""count"":0},{""vehicle_type_id"":""7"",""count"":0},{""vehicle_type_id"":""9"",""count"":0}]",0,21,0,1,1,1,2025-09-23T20:18:36+00:00,False,False,,2025-09-23T20:20:50+00:00
id_073be9a18791,21,2,"[{""vehicle_type_id"":""11"",""count"":2},{""vehicle_type_id"":""14"",""count"":1},{""vehicle_type_id"":""4"",""count"":0},{""vehicle_type_id"":""7"",""count"":0},{""vehicle_type_id"":""9"",""count"":18}]",0,1,0,1,1,1,2025-09-23T20:37:08+00:00,False,False,,2025-09-23T20:38:35+00:00
id_073be9a18791,21,3,"[{""vehicle_type_id"":""11"",""count"":3},{""vehicle_type_id"":""14"",""count"":1},{""vehicle_type_id"":""4"",""count"":0},{""vehicle_type_id"":""7"",""count"":0},{""vehicle_type_id"":""9"",""count"":17}]",0,1,0,1,1,1,2025-09-23T20:50:55+00:00,False,False,,2025-09-23T20:50:59+00:00
id_073be9a18791,21,3,"[{""vehicle_type_id"":""11"",""count"":3},{""vehicle_type_id"":""14"",""count"":1},{""vehicle_type_id"":""4"",""count"":0},{""vehicle_type_id"":""7"",""count"":0},{""vehicle_type_id"":""9"",""count"":17}]",0,1,0,1,1,1,2025-09-23T21:11:25+00:00,False,False,,2025-09-23T21:12:02+00:00
id_073be9a18791,20,4,"[{""vehicle_type_id"":""11"",""count"":4},{""vehicle_type_id"":""14"",""count"":1},{""vehicle_type_id"":""4"",""count"":0},{""vehicle_type_id"":""7"",""count"":0},{""vehicle_type_id"":""9"",""count"":15}]",1,1,0,1,1,1,2025-09-23T21:27:56+00:00,False,False,,2025-09-23T21:29:29+00:00
id_073be9a18791,16,5,"[{""vehicle_type_id"":""11"",""count"":5},{""vehicle_type_id"":""14"",""count"":1},{""vehicle_type_id"":""4"",""count"":0},{""vehicle_type_id"":""7"",""count"":0},{""vehicle_type_id"":""9"",""count"":10}]",1,5,0,1,1,1,2025-09-23T21:41:59+00:00,False,False,,2025-09-23T21:42:20+00:00
id_073be9a18791,16,9,"[{""vehicle_type_id"":""11"",""count"":9},{""vehicle_type_id"":""14"",""count"":1},{""vehicle_type_id"":""4"",""count"":0},{""vehicle_type_id"":""7"",""count"":0},{""vehicle_type_id"":""9"",""count"":6}]",1,5,0,1,1,1,2025-09-23T21:53:16+00:00,False,False,,2025-09-23T21:54:48+00:00
id_073be9a18791,21,12,"[{""vehicle_type_id"":""11"",""count"":12},{""vehicle_type_id"":""14"",""count"":1},{""vehicle_type_id"":""4"",""count"":0},{""vehicle_type_id"":""7"",""count"":0},{""vehicle_type_id"":""9"",""count"":8}]",1,0,0,1,1,1,2025-09-23T22:19:49+00:00,False,False,,2025-09-23T22:20:00+00:00
id_073be9a18791,17,12,"[{""vehicle_type_id"":""11"",""count"":12},{""vehicle_type_id"":""14"",""count"":1},{""vehicle_type_id"":""4"",""count"":0},{""vehicle_type_id"":""7"",""count"":0},{""vehicle_type_id"":""9"",""count"":4}]",2,3,0,1,1,1,2025-09-23T22:32:02+00:00,False,False,,2025-09-23T22:37:00+00:00
id_073be9a18791,16,12,"[{""vehicle_type_id"":""11"",""count"":12},{""vehicle_type_id"":""14"",""count"":1},{""vehicle_type_id"":""4"",""count"":0},{""vehicle_type_id"":""7"",""count"":0},{""vehicle_type_id"":""9"",""count"":3}]",2,4,0,1,1,1,2025-09-23T22:46:43+00:00,False,False,,2025-09-23T22:49:57+00:00
id_073be9a18791,14,11,"[{""vehicle_type_id"":""11"",""count"":11},{""vehicle_type_id"":""14"",""count"":1},{""vehicle_type_id"":""4"",""count"":0},{""vehicle_type_id"":""7"",""count"":0},{""vehicle_type_id"":""9"",""count"":2}]",1,7,0,1,1,1,2025-09-23T23:09:52+00:00,False,False,,2025-09-23T23:10:14+00:00
id_073be9a18791,18,14,"[{""vehicle_type_id"":""11"",""count"":14},{""vehicle_type_id"":""14"",""count"":1},{""vehicle_type_id"":""4"",""count"":0},{""vehicle_type_id"":""7"",""count"":0},{""vehicle_type_id"":""9"",""count"":3}]",1,3,0,1,1,1,2025-09-23T23:26:50+00:00,False,False,,2025-09-23T23:27:25+00:00
id_073be9a18791,20,17,"[{""vehicle_type_id"":""11"",""count"":17},{""vehicle_type_id"":""14"",""count"":1},{""vehicle_type_id"":""4"",""count"":0},{""vehicle_type_id"":""7"",""count"":0},{""vehicle_type_id"":""9"",""count"":2}]",1,1,0,1,1,1,2025-09-23T23:37:37+00:00,False,False,,2025-09-23T23:40:44+00:00
id_073be9a18791,19,18,"[{""vehicle_type_id"":""11"",""count"":18},{""vehicle_type_id"":""14"",""count"":1},{""vehicle_type_id"":""4"",""count"":0},{""vehicle_type_id"":""7"",""count"":0},{""vehicle_type_id"":""9"",""count"":0}]",1,2,0,1,1,1,2025-09-23T23:50:57+00:00,False,False,,2025-09-23T23:53:25+00:00
id_073be9a18791,19,18,"[{""vehicle_type_id"":""11"",""count"":18},{""vehicle_type_id"":""14"",""count"":1},{""vehicle_type_id"":""4"",""count"":0},{""vehicle_type_id"":""7"",""count"":0},{""vehicle_type_id"":""9"",""count"":0}]",1,2,0,1,1,1,2025-09-24T01:24:07+00:00,False,False,,2025-09-24T01:24:27+00:00
id_073be9a18791,20,18,"[{""vehicle_type_id"":""11"",""count"":18},{""vehicle_type_id"":""14"",""count"":1},{""vehicle_type_id"":""4"",""count"":0},{""vehicle_type_id"":""7"",""count"":0},{""vehicle_type_id"":""9"",""count"":1}]",1,1,0,1,1,1,2025-09-24T02:44:49+00:00,False,False,,2025-09-24T02:46:21+00:00
id_073be9a18791,20,18,"[{""vehicle_type_id"":""11"",""count"":18},{""vehicle_type_id"":""14"",""count"":1},{""vehicle_type_id"":""4"",""count"":0},{""vehicle_type_id"":""7"",""count"":0},{""vehicle_type_id"":""9"",""count"":1}]",0,2,0,1,1,1,2025-09-24T03:20:42+00:00,False,False,,2025-09-24T03:23:32+00:00
id_073be9a18791,22,18,"[{""vehicle_type_id"":""11"",""count"":18},{""vehicle_type_id"":""14"",""count"":1},{""vehicle_type_id"":""4"",""count"":0},{""vehicle_type_id"":""7"",""count"":0},{""vehicle_type_id"":""9"",""count"":3}]",0,0,0,1,1,1,2025-09-24T03:28:56+00:00,False,False,,2025-09-24T03:48:00+00:00
id_073be9a18791,22,18,"[{""vehicle_type_id"":""11"",""count"":18},{""vehicle_type_id"":""14"",""count"":1},{""vehicle_type_id"":""4"",""count"":0},{""vehicle_type_id"":""7"",""count"":0},{""vehicle_type_id"":""9"",""count"":3}]",0,0,0,1,1,1,2025-09-24T03:50:01+00:00,False,False,,2025-09-24T04:00:59+00:00
id_073be9a18791,22,18,"[{""vehicle_type_id"":""11"",""count"":18},{""vehicle_type_id"":""14"",""count"":1},{""vehicle_type_id"":""4"",""count"":0},{""vehicle_type_id"":""7"",""count"":0},{""vehicle_type_id"":""9"",""count"":3}]",0,0,0,1,1,1,2025-09-24T04:21:15+00:00,False,False,,2025-09-24T04:31:25+00:00
id_073be9a18791,22,18,"[{""vehicle_type_id"":""11"",""count"":18},{""vehicle_type_id"":""14"",""count"":1},{""vehicle_type_id"":""4"",""count"":0},{""vehicle_type_id"":""7"",""count"":0},{""vehicle_type_id"":""9"",""count"":3}]",0,0,0,1,1,1,2025-09-24T04:43:40+00:00,False,False,,2025-09-24T04:46:50+00:00
id_073be9a18791,21,16,"[{""vehicle_type_id"":""11"",""count"":16},{""vehicle_type_id"":""14"",""count"":1},{""vehicle_type_id"":""4"",""count"":0},{""vehicle_type_id"":""7"",""count"":0},{""vehicle_type_id"":""9"",""count"":4}]",0,1,0,1,1,1,2025-09-24T04:57:25+00:00,False,False,,2025-09-24T04:59:38+00:00
id_073be9a18791,20,16,"[{""vehicle_type_id"":""11"",""count"":16},{""vehicle_type_id"":""14"",""count"":1},{""vehicle_type_id"":""4"",""count"":0},{""vehicle_type_id"":""7"",""count"":0},{""vehicle_type_id"":""9"",""count"":3}]",0,2,0,1,1,1,2025-09-24T05:09:27+00:00,False,False,,2025-09-24T05:27:29+00:00
id_073be9a18791,21,17,"[{""vehicle_type_id"":""11"",""count"":17},{""vehicle_type_id"":""14"",""count"":1},{""vehicle_type_id"":""4"",""count"":0},{""vehicle_type_id"":""7"",""count"":0},{""vehicle_type_id"":""9"",""count"":3}]",0,1,0,1,1,1,2025-09-24T05:29:08+00:00,False,False,,2025-09-24T05:43:03+00:00
id_073be9a18791,20,16,"[{""vehicle_type_id"":""11"",""count"":16},{""vehicle_type_id"":""14"",""count"":1},{""vehicle_type_id"":""4"",""count"":0},{""vehicle_type_id"":""7"",""count"":0},{""vehicle_type_id"":""9"",""count"":3}]",0,2,0,1,1,1,2025-09-24T05:49:58+00:00,False,False,,2025-09-24T05:55:41+00:00
id_073be9a18791,19,14,"[{""vehicle_type_id"":""11"",""count"":14},{""vehicle_type_id"":""14"",""count"":1},{""vehicle_type_id"":""4"",""count"":0},{""vehicle_type_id"":""7"",""count"":0},{""vehicle_type_id"":""9"",""count"":4}]",0,3,0,1,1,1,2025-09-24T06:34:38+00:00,False,False,,2025-09-24T06:36:24+00:00
id_073be9a18791,19,14,"[{""vehicle_type_id"":""11"",""count"":14},{""vehicle_type_id"":""14"",""count"":1},{""vehicle_type_id"":""4"",""count"":0},{""vehicle_type_id"":""7"",""count"":0},{""vehicle_type_id"":""9"",""count"":4}]",0,3,0,1,1,1,2025-09-24T06:34:38+00:00,False,False,,2025-09-24T06:53:44+00:00
id_073be9a18791,18,14,"[{""vehicle_type_id"":""11"",""count"":14},{""vehicle_type_id"":""14"",""count"":1},{""vehicle_type_id"":""4"",""count"":0},{""vehicle_type_id"":""7"",""count"":0},{""vehicle_type_id"":""9"",""count"":3}]",0,4,0,1,1,1,2025-09-24T07:02:22+00:00,False,False,,2025-09-24T07:19:53+00:00
id_073be9a18791,16,12,"[{""vehicle_type_id"":""11"",""count"":12},{""vehicle_type_id"":""14"",""count"":1},{""vehicle_type_id"":""4"",""count"":0},{""vehicle_type_id"":""7"",""count"":0},{""vehicle_type_id"":""9"",""count"":3}]",0,6,0,1,1,1,2025-09-24T07:24:43+00:00,False,False,,2025-09-24T07:36:25+00:00
id_073be9a18791,16,12,"[{""vehicle_type_id"":""11"",""count"":12},{""vehicle_type_id"":""14"",""count"":1},{""vehicle_type_id"":""4"",""count"":0},{""vehicle_type_id"":""7"",""count"":0},{""vehicle_type_id"":""9"",""count"":3}]",0,6,0,1,1,1,2025-09-24T07:24:43+00:00,False,False,,2025-09-24T07:49:13+00:00
id_073be9a18791,16,12,"[{""vehicle_type_id"":""11"",""count"":12},{""vehicle_type_id"":""14"",""count"":1},{""vehicle_type_id"":""4"",""count"":0},{""vehicle_type_id"":""7"",""count"":0},{""vehicle_type_id"":""9"",""count"":3}]",0,6,0,1,1,1,2025-09-24T07:24:43+00:00,False,False,,2025-09-24T08:14:52+00:00
id_073be9a18791,15,12,"[{""vehicle_type_id"":""11"",""count"":12},{""vehicle_type_id"":""14"",""count"":1},{""vehicle_type_id"":""4"",""count"":0},{""vehicle_type_id"":""7"",""count"":0},{""vehicle_type_id"":""9"",""count"":2}]",0,7,0,1,1,1,2025-09-24T08:39:39+00:00,False,False,,2025-09-24T08:42:41+00:00
id_073be9a18791,12,9,"[{""vehicle_type_id"":""11"",""count"":9},{""vehicle_type_id"":""14"",""count"":1},{""vehicle_type_id"":""4"",""count"":0},{""vehicle_type_id"":""7"",""count"":0},{""vehicle_type_id"":""9"",""count"":2}]",0,10,0,1,1,1,2025-09-24T08:44:41+00:00,False,False,,2025-09-24T08:57:11+00:00
id_073be9a18791,12,9,"[{""vehicle_type_id"":""11"",""count"":9},{""vehicle_type_id"":""14"",""count"":1},{""vehicle_type_id"":""4"",""count"":0},{""vehicle_type_id"":""7"",""count"":0},{""vehicle_type_id"":""9"",""count"":2}]",0,10,0,1,1,1,2025-09-24T08:44:41+00:00,False,False,,2025-09-24T09:27:46+00:00
id_073be9a18791,12,9,"[{""vehicle_type_id"":""11"",""count"":9},{""vehicle_type_id"":""14"",""count"":1},{""vehicle_type_id"":""4"",""count"":0},{""vehicle_type_id"":""7"",""count"":0},{""vehicle_type_id"":""9"",""count"":2}]",0,10,0,1,1,1,2025-09-24T08:44:41+00:00,False,False,,2025-09-24T09:44:27+00:00
id_073be9a18791,12,9,"[{""vehicle_type_id"":""11"",""count"":9},{""vehicle_type_id"":""14"",""count"":1},{""vehicle_type_id"":""4"",""count"":0},{""vehicle_type_id"":""7"",""count"":0},{""vehicle_type_id"":""9"",""count"":2}]",0,10,0,1,1,1,2025-09-24T08:44:41+00:00,False,False,,2025-09-24T09:56:39+00:00
id_073be9a18791,11,9,"[{""vehicle_type_id"":""11"",""count"":9},{""vehicle_type_id"":""14"",""count"":1},{""vehicle_type_id"":""4"",""count"":0},{""vehicle_type_id"":""7"",""count"":0},{""vehicle_type_id"":""9"",""count"":1}]",0,11,0,1,1,1,2025-09-24T10:18:21+00:00,False,False,,2025-09-24T10:27:35+00:00
id_073be9a18791,11,9,"[{""vehicle_type_id"":""11"",""count"":9},{""vehicle_type_id"":""14"",""count"":1},{""vehicle_type_id"":""4"",""count"":0},{""vehicle_type_id"":""7"",""count"":0},{""vehicle_type_id"":""9"",""count"":1}]",0,11,0,1,1,1,2025-09-24T10:18:21+00:00,False,False,,2025-09-24T10:44:55+00:00
id_073be9a18791,14,11,"[{""vehicle_type_id"":""11"",""count"":11},{""vehicle_type_id"":""14"",""count"":1},{""vehicle_type_id"":""4"",""count"":0},{""vehicle_type_id"":""7"",""count"":0},{""vehicle_type_id"":""9"",""count"":2}]",0,8,0,1,1,1,2025-09-24T10:54:07+00:00,False,False,,2025-09-24T10:57:57+00:00
id_073be9a18791,12,10,"[{""vehicle_type_id"":""11"",""count"":10},{""vehicle_type_id"":""14"",""count"":1},{""vehicle_type_id"":""4"",""count"":0},{""vehicle_type_id"":""7"",""count"":0},{""vehicle_type_id"":""9"",""count"":1}]",0,10,0,1,1,1,2025-09-24T11:05:51+00:00,False,False,,2025-09-24T11:21:10+00:00
id_073be9a18791,10,9,"[{""vehicle_type_id"":""11"",""count"":9},{""vehicle_type_id"":""14"",""count"":1},{""vehicle_type_id"":""4"",""count"":0},{""vehicle_type_id"":""7"",""count"":0},{""vehicle_type_id"":""9"",""count"":0}]",0,12,0,1,1,1,2025-09-24T11:31:19+00:00,False,False,,2025-09-24T11:35:58+00:00
id_073be9a18791,7,6,"[{""vehicle_type_id"":""11"",""count"":6},{""vehicle_type_id"":""14"",""count"":1},{""vehicle_type_id"":""4"",""count"":0},{""vehicle_type_id"":""7"",""count"":0},{""vehicle_type_id"":""9"",""count"":0}]",0,15,0,1,1,1,2025-09-24T11:45:56+00:00,False,False,,2025-09-24T11:48:20+00:00
id_073be9a18791,1,0,"[{""vehicle_type_id"":""11"",""count"":0},{""vehicle_type_id"":""14"",""count"":1},{""vehicle_type_id"":""4"",""count"":0},{""vehicle_type_id"":""7"",""count"":0},{""vehicle_type_id"":""9"",""count"":0}]",0,21,0,1,1,1,2025-09-24T12:05:29+00:00,False,False,,2025-09-24T12:16:18+00:00
id_073be9a18791,2,0,"[{""vehicle_type_id"":""11"",""count"":0},{""vehicle_type_id"":""14"",""count"":1},{""vehicle_type_id"":""4"",""count"":0},{""vehicle_type_id"":""7"",""count"":0},{""vehicle_type_id"":""9"",""count"":1}]",0,20,0,1,1,1,2025-09-24T13:00:29+00:00,False,False,,2025-09-24T13:00:49+00:00
id_073be9a18791,2,1,"[{""vehicle_type_id"":""11"",""count"":1},{""vehicle_type_id"":""14"",""count"":1},{""vehicle_type_id"":""4"",""count"":0},{""vehicle_type_id"":""7"",""count"":0},{""vehicle_type_id"":""9"",""count"":0}]",0,20,0,1,1,1,2025-09-24T13:32:28+00:00,False,False,,2025-09-24T13:35:46+00:00
id_073be9a18791,2,0,"[{""vehicle_type_id"":""11"",""count"":0},{""vehicle_type_id"":""14"",""count"":1},{""vehicle_type_id"":""4"",""count"":0},{""vehicle_type_id"":""7"",""count"":0},{""vehicle_type_id"":""9"",""count"":1}]",0,20,0,1,1,1,2025-09-24T13:44:35+00:00,False,False,,2025-09-24T13:50:57+00:00
